ds,yhat
2023-05-26,22.110157392279685
2023-05-27,25.120643318414672
2023-05-28,24.96294319903247
2023-05-29,21.78696112965476
2023-05-30,21.514641849563155
2023-05-31,21.604844514961297
2023-06-01,21.32693108627855
2023-06-02,22.307389803170597
2023-06-03,25.306742316247497
2023-06-04,25.138350363013927
2023-06-05,21.952210532074
2023-06-06,21.670346503879603
2023-06-07,21.75167978127083
2023-06-08,21.46561615189851
2023-06-09,22.43866844230261
2023-06-10,25.431364163059317
2023-06-11,25.257053906341994
2023-06-12,22.06570895849198
2023-06-13,21.779317383247687
2023-06-14,21.856759409808213
2023-06-15,21.56739915078003
2023-06-16,22.53771296245818
2023-06-17,25.528202780147893
2023-06-18,25.352210013760512
2023-06-19,22.159718192904705
2023-06-20,21.872753356126314
2023-06-21,21.950262782010466
